"city","population","rank"
Paris,2125246,1
Marseille,798430,2
Lyon,445452,3
Toulouse,390350,4
Nice,342738,5
Nantes,270251,6
Strasbourg,264115,7
Montpellier,225392,8
Bordeaux,215363,9
Rennes,206229,10
Le Havre,190905,11
Reims,187206,12
Lille,184657,13
St-Étienne,180210,14
Toulon,160639,15
Grenoble,153317,16
Angers,151279,17
Dijon,149867,18
Brest,149634,19
Le Mans,146105,20
Clermont-Ferrand,137140,21
Amiens,135501,22
Aix-en-Provence,134222,23
Limoges,133968,24
Nîmes,133424,25
Tours,132820,26
Villeurbanne,124215,27
Metz,123776,28
Besançon,117733,29
Caen,113987,30
Orléans,113126,31
Mulhouse,110359,32
Rouen,106592,33
Boulogne-Billancourt,106367,34
Perpignan,105115,35
Nancy,103605,36
Roubaix,96984,37
Argenteuil,93961,38
Tourcoing,93540,39
Montreuil,90674,40
